"kdakun","nmakun"
"513211","Belanja Askes PNS"
"513212","Belanja Askes Pejabat Negara"
"513221","Belanja Askes Penerima Pensiun"
"513231","Belanja Askes TNI/Kemhan"
"513241","Belanja Askes Polri"
"513251","Belanja Askes Veteran"
"513271","Belanja Program Jaminan Kecelakaan Kerja Pegawai"
"513281","Belanja Program Jaminan Kematian Pegawai"
"513311","Belanja Tunjangan Kesehatan Veteran"
"513411","Belanja Cadangan Perubahan Sharing"
"513511","Belanja Kontribusi APBN Pembayaran Pensiun Eks PNS Kemhub Pada PT. KAI"
"521111","Belanja Keperluan Perkantoran"
"521112","Belanja Pengadaan Bahan Makanan"
"521113","Belanja Penambah Daya Tahan Tubuh"
"521114","Belanja Pengiriman Surat Dinas Pos Pusat"
"521115","Belanja Honor Operasional Satuan Kerja"
"521116","Belanja Keperluan Perkantoran Atase Pertahanan Luar Negeri"
"521119","Belanja Barang Operasional Lainnya"
"521121","Belanja Barang Operasional kepada BLU  dalam Satu Kementerian Negara/Lembaga"
"521122","Belanja Barang Operasional Kepada BLU yang berada dalam Kementerian Negara/Lembaga lain"
"521211","Belanja Bahan"
"521212","Belanja Barang Transito"
"521213","Belanja Honor Output Kegiatan"
"521214","Belanja Rugi Selisih Kurs Uang Persediaan"
"521215","Belanja Biaya Operasional Penyelenggaraan Pembayaran Manfaat Pensiun"
"521216","Belanja Pencairan Bantuan Pendanaan Perguruan Tinggi Negeri Badan Hukum"
"521217","Belanja Denda Keterlambatan Pembayaran Tagihan Kepada Negara"
"521218","Belanja dalam Rangka Refund Dana PHLN"
"521219","Belanja Barang Non Operasional Lainnya"
"521221","Belanja Barang Non Operasional kepada BLU  dalam Satu Kementerian Negara/Lembaga"
"521222","Belanja Barang Non Operasional Kepada BLU yang berada dalam Kementerian Negara/Lembaga lain"
"521231","Belanja Barang Pemberian Penghargaan dalam bentuk uang"
"521232","Belanja Barang Pemberian Beasiswa Non PNS dalam bentuk uang"
"521233","Belanja Barang Pemberian Bantuan Operasional dalam bentuk uang"
"521234","Belanja Barang Pemberian Penghargaan dalam bentuk barang"
"521511","Belanja Barang Pengganti PPN Dalam Rangka Hibah MCC"
"521512","Belanja Barang Pengganti PPh Dalam Rangka Hibah MCC"
"521513","Belanja Barang Pengganti Pajak Lainnya Dalam Rangka Hibah MCC"
"521711","Belanja Kontribusi pada Organisasi Internasional dan Trust Fund"
"521721","Belanja Kontribusi Dana Dukungan Kelayakan (Viability Gap Fund)"
"521722","Belanja Kontribusi Fasilitas Penyiapan Proyek (Project Development Facility)"
"521723","Belanja Ketersediaan Layanan (Availability Payment)"
"521811","Belanja Barang Persediaan Barang Konsumsi"
"521812","Belanja Barang Persediaan Amunisi"
"521813","Belanja Barang Persediaan Pita Cukai, Meterai dan Leges"
"521821","Belanja Barang Persediaan bahan baku"
"521822","Belanja Barang Persediaan barang dalam proses"
"521831","Belanja Barang Persediaan untuk tujuan strategis/berjaga-jaga"
"521832","Belanja Barang Persediaan Lainnya"
"522111","Belanja Langganan Listrik"
"522112","Belanja Langganan Telepon"
"522113","Belanja Langganan Air"
"522119","Belanja Langganan Daya dan Jasa Lainnya"
"522121","Belanja Jasa Pos dan Giro"
"522131","Belanja Jasa Konsultan"
"522141","Belanja Sewa"
"522151","Belanja Jasa Profesi"
"522161","Belanja Jasa kepada BLU  dalam Satu Kementerian Negara/Lembaga"
"522162","Belanja Jasa Kepada BLU yang berada dalam Kementerian Negara/Lembaga lain"
"522191","Belanja Jasa Lainnya"
"523111","Belanja Pemeliharaan Gedung dan Bangunan"
"523112","Belanja Barang Persediaan Pemeliharaan Gedung dan Bangunan"
"523113","Belanja Asuransi Gedung dan Bangunan"
"523119","Belanja Pemeliharaan Gedung dan Bangunan Lainnya"
"523121","Belanja Pemeliharaan Peralatan dan Mesin"
"523122","Belanja Bahan Bakar Minyak dan Pelumas (BMP) dan Pelumas Khusus Non Pertamina"
"523123","Belanja Barang Persediaan Pemeliharaan Peralatan dan Mesin"
"523124","Belanja Asuransi Alat Angkutan Darat/Apung/Udara Bermotor"
"523129","Belanja Pemeliharaan Peralatan dan Mesin Lainnya"
"523131","Belanja Pemeliharaan Jalan dan Jembatan"
"523132","Belanja Pemeliharaan Irigasi"
"523133","Belanja Pemeliharaan Jaringan"
"523134","Belanja Barang Persediaan Pemeliharaan Jalan dan Jembatan"
"523135","Belanja Barang Persediaan Pemeliharaan Irigasi"
"523136","Belanja Barang Persediaan Pemeliharaan Jaringan"
"523137","Belanja Asuransi Jembatan"
"523191","Belanja Barang Persediaan Pemeliharaan Lainnya"
"523199","Belanja Pemeliharaan Lainnya"
"524111","Belanja Perjalanan Dinas Biasa"
"524112","Belanja Perjalanan Dinas Tetap"
"524113","Belanja Perjalanan Dinas Dalam Kota"
"524114","Belanja Perjalanan Dinas Paket Meeting Dalam Kota"
"524119","Belanja Perjalanan Dinas Paket Meeting Luar Kota"
"524211","Belanja Perjalanan Dinas Biasa - Luar Negeri"
"524212","Belanja Perjalanan Dinas Tetap - Luar Negeri"
"524219","Belanja Perjalanan Dinas Lainnya - Luar Negeri"
"525111","Belanja Gaji dan Tunjangan"
"525112","Belanja Barang"
"525113","Belanja Jasa"
"525114","Belanja Pemeliharaan"
"525115","Belanja Perjalanan"
"525116","Belanja atas Pengelolaan Endowment Fund"
"525117","Belanja Pengelolaan Dana Perkebunan Kelapa Sawit "
"525118","Belanja Ketersediaan Layanan BLU "
"525119","Belanja Penyediaan Barang dan Jasa BLU Lainnya"
"525121","Belanja Barang Persediaan Barang Konsumsi - BLU"
"525122","Belanja Barang Persediaan Amunisi - BLU"
"525123","Belanja Barang Persediaan Pemeliharaan - BLU"
"525124","Belanja Barang Persediaan Pita Cukai, Materai dan Leges - BLU"
"525125","Belanja Barang Persediaan untuk Dijual/Diserahkan kepada Masyarakat - BLU"
"525126","Belanja Barang Persediaan Bahan Baku untuk Proses Produksi - BLU"
"525127","Belanja Barang Persediaan Barang dalam Proses untuk Proses Produksi - BLU"
"525129","Belanja Barang Persediaan Lainnya - BLU"
"525131","Belanja Asuransi BMN Gedung dan Bangunan - BLU"
"525132","Belanja Asuransi BMN Alat Angkutan Darat/Apung/Udara Bermotor – BLU"
"525133","Belanja Asuransi BMN Jembatan – BLU"
"525141","Belanja Barang BLU kepada BLU Lain dalam Satu Kementerian Negara/Lembaga"
"525142","Belanja Barang BLU kepada BLU Lain yang berada dalam Kementerian Negara/Lembaga Lain"
"525143","Belanja Jasa BLU kepada BLU Lain dalam Satu Kementerian Negara/Lembaga"
"525144","Belanja Jasa BLU Kepada BLU Lain yang berada dalam Kementerian Negara/Lembaga Lain"
"526111","Belanja Tanah Untuk Diserahkan Kepada Masyarakat/Pemda"
"526112","Belanja Peralatan Dan Mesin Untuk Diserahkan Kepada Masyarakat/Pemda"
"526113","Belanja Gedung Dan Bangunan Untuk Diserahkan Kepada Masyarakat/Pemda"
"526114","Belanja Jalan, Irigasi Dan Jaringan Untuk Diserahkan Kepada Masyarakat/Pemda"
"526115","Belanja Barang Fisik Lainnya Untuk Diserahkan Kepada Masyarakat/Pemda"
"526121","Belanja Tanah Untuk Diserahkan kepada Masyarakat/Pemda dalam bentuk uang"
"526122","Belanja Peralatan Dan Mesin Untuk Diserahkan kepada Masyarakat/Pemda dalam bentuk uang"
"526123","Belanja Gedung Dan Bangunan Untuk Diserahkan kepada Masyarakat/Pemda dalam bentuk uang"
"526124","Belanja Jalan, Irigasi Dan Jaringan Untuk Diserahkan kepada Masyarakat/Pemda dalam bentuk uang"
"526211","Belanja Barang Penunjang Kegiatan Dekonsentrasi Untuk Diserahkan Kepada Pemerintah Daerah"
"526212","Belanja Barang Penunjang Tugas Pembantuan Untuk Diserahkan Kepada Pemerintah Daerah"
"526220","Belanja Barang Fisik Tugas Pembantuan untuk diserahkan kepada Pemerintah Daerah"
"526222","Belanja Peralatan dan Mesin Tugas Pembantuan Untuk Diserahkan kepada Pemerintah Daerah"
"526223","Belanja Gedung dan Bangunan Tugas Pembantuan Untuk Diserahkan kepada Pemerintah Daerah"
"526224","Belanja Jalan, Irigasi Dan Jaringan Tugas Pembantuan Untuk Diserahkan kepada Pemerintah Daerah"
"526311","Belanja Barang Bantuan Lainnya Untuk Diserahkan Kepada Masyarakat/Pemda"
"526312","Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah "
"527111","Belanja Tanah untuk Diserahkan kepada Mantan Presiden dan/atau Mantan Wakil Presiden"
"527112","Belanja Peralatan dan Mesin untuk Diserahkan kepada Mantan Presiden dan/atau Mantan Wakil Presiden"
"527113","Belanja Gedung dan Bangunan untuk Diserahkan kepada Mantan Presiden dan/atau Mantan Wakil Presiden"
"531111","Belanja Modal Tanah"
"531112","Belanja Modal Pembebasan Tanah"
"531113","Belanja Modal Pembayaran Honor Tim Tanah"
"531114","Belanja Modal Pembuatan Sertifikat Tanah"
"531115","Belanja Modal Pengurukan dan Pematangan Tanah"
"531116","Belanja Modal Biaya Pengukuran Tanah"
"531117","Belanja Modal Perjalanan Pengadaan Tanah"
"532111","Belanja Modal Peralatan dan Mesin"
"532112","Belanja Modal Bahan Baku Peralatan dan Mesin"
"532113","Belanja Modal Upah Tenaga Kerja dan Honor Pengelola Teknis Peralatan dan Mesin"
"532114","Belanja Modal Sewa Peralatan dan Mesin"
"532115","Belanja Modal Perencanaan dan Pengawasan Peralatan dan Mesin"
"532116","Belanja Modal Perijinan Peralatan dan Mesin"
"532117","Belanja Modal Pemasangan Peralatan dan Mesin"
"532118","Belanja Modal Perjalanan Peralatan dan Mesin"
"532121","Belanja Penambahan Nilai Peralatan dan Mesin"
"533111","Belanja Modal Gedung dan Bangunan"
"533112","Belanja Modal Bahan Baku Gedung dan Bangunan"
"533113","Belanja Modal Upah Tenaga Kerja dan Honor Pengelola Teknis Gedung dan Bangunan"
"533114","Belanja Modal Sewa Peralatan Gedung dan Bangunan"
"533115","Belanja Modal Perencanaan dan Pengawasan Gedung dan Bangunan"
"533116","Belanja Modal Perizinan Gedung dan Bangunan"
"533117","Belanja Modal Pengosongan dan Pembongkaran Bangunan Lama, Gedung dan Bangunan"
"533118","Belanja Modal Perjalanan Gedung dan Bangunan"
"533121","Belanja Penambahan Nilai Gedung dan Bangunan"
"534111","Belanja Modal Jalan dan Jembatan"
"534112","Belanja Modal Bahan Baku Jalan dan Jembatan"
"534113","Belanja Modal Upah Tenaga Kerja dan Honor Pengelola Teknis Jalan dan jembatan"
"534114","Belanja Modal Sewa Peralatan Jalan dan Jembatan"
"534115","Belanja Modal Perencanaan dan Pengawasan Jalan dan Jembatan"
"534116","Belanja Modal Perijinan Jalan dan Jembatan"
"534117","Belanja Modal  Pengosongan dan Pembongkaran Bangunan Lama Jalan dan Jembatan"
"534118","Belanja Modal Perjalanan Jalan dan Jembatan"
"534121","Belanja Modal Irigasi"
"534122","Belanja Modal Bahan Baku Irigasi"
"534123","Belanja Modal Upah Tenaga Kerja dan Honor Pengelola Teknis Irigasi"
"534124","Belanja Modal Sewa Peralatan Irigasi"
"534125","Belanja Modal Perencanaan dan Pengawasan Irigasi"
"534126","Belanja Modal Perijinan Irigasi"
"534127","Belanja Modal  Pengosongan dan Pembongkaran Bangunan Lama Irigasi"
"534128","Belanja Modal Perjalanan Irigasi"
"534131","Belanja Modal Jaringan"
"534132","Belanja Modal Bahan Baku  Jaringan"
"534133","Belanja Modal Upah Tenaga Kerja dan Honor Pengelola Teknis Jaringan"
"534134","Belanja Modal Sewa Peralatan Jaringan"
"534135","Belanja Modal Perencanaan dan Pengawasan Jaringan"
"534136","Belanja Modal Perijinan Jaringan"
"534137","Belanja Modal  Pengosongan dan Pembongkaran Bangunan  Jaringan"
"534138","Belanja Modal Perjalanan Jaringan"
"534141","Belanja Penambahan Nilai Jalan dan Jembatan"
"534151","Belanja Penambahan Nilai Irigasi"
"534161","Belanja Penambahan Nilai Jaringan"
"536111","Belanja Modal Lainnya"
"536121","Belanja Penambahan Nilai Fisik Lainnya"
"537111","Belanja Modal Tanah"
"537112","Belanja Modal Peralatan dan Mesin"
"537113","Belanja Modal Gedung dan Bangunan"
"537114","Belanja Modal Jalan, Irigasi dan Jaringan"
"537115","Belanja Modal Fisik Lainnya"
"541111","Belanja Pembayaran Bunga Surat Perbendaharaan Negara – Rupiah"
"541112","Belanja Pembayaran Kupon SBN-TDR"
"541113","Belanja Pembayaran Bunga Repo - TDR"
"541119","Belanja Pembayaran Biaya/kewajiban lainnya Bunga Surat Perbendaharan Negara"
"541121","Belanja Pembayaran Bunga Surat Perbendaharaan Negara-Valas"
"541122","Belanja Pembayaran Kupon SBN Valas-TDR"
"541123","Belanja Pembayaran Bunga Repo Valas-TDR"
"541129","Belanja Pembayaran Biaya/ Kewajiban Lainnya Bunga Surat Perbendaharaan Negara - Valas"
"541211","Belanja Pembayaran Bunga Obligasi Negara – Rupiah"
"541219","Belanja Pembayaran Biaya/kewajiban lainnya Obligasi Negara"
"541221","Belanja Pembayaran Bunga Pinjaman Perbankan"
"541229","Belanja Pembayaran Biaya/Kewajiban Obligasi Negara Lainnya"
"541231","Belanja Pembayaran Bunga Pinjaman Dalam Negeri"
"541232","Belanja Biaya/Kewajiban Lainnya terhadap Pinjaman Dalam Negeri."
"541241","Belanja Pembayaran Biaya Transfer Pinjaman Dalam Negeri"
"541251","Belanja Pembayaran Bunga Obligasi Negara-Valas"
"541259","Belanja Pembayaran Biaya/Kewajiban Lainnya Obligasi Negara"
"541311","Belanja Pembayaran Imbalan Surat Berharga Syariah Negara - Jangka Panjang"
"541312","Belanja Pembayaran Biaya/kewajiban lainnya – Imbalan SBSN Jangka Panjang"
"541321","Belanja Pembayaran Imbalan Surat Berharga Syariah Negara - Jangka Pendek"
"541322","Belanja Pembayaran Biaya/kewajiban lainnya – Imbalan Surat Berharga Syariah Negara Jangka Pendek"
"541331","Belanja Pembayaran Imbalan SPN Syariah"
"541332","Belanja Pembayaran Biaya/Kewajiban Lainnya-Imbalan SPN Syariah"
"541341","Belanja Pembayaran Imbalan SBSN - Jangka Panjang Valas"
"541342","Belanja Pembayaran Biaya/kewajiban lainnya – Imbalan SBSN Jangka Panjang Valas"
"541351","Belanja Pembayaran Imbalan SBSN - Jangka Pendek Valas"
"541352","Belanja Pembayaran Biaya/Kewajiban Lainnya – Imbalan SBSN Jangka Pendek Valas"
"541411","Belanja Bunga Pinjaman Program"
"541419","Belanja Biaya/kewajiban lainnya Terhadap Pinjaman Program"
"541421","Belanja Bunga Pinjaman Proyek"
"541429","Belanja Biaya/kewajiban lainnya Terhadap Pinjaman Proyek"
"541431","Belanja Bunga Obligasi Negara – Valas"
"541439","Belanja Biaya/kewajiban lainnya – Bunga Obligasi Negara"
"541441","Belanja Bunga Utang LN dari Penjadualan Kembali Pinjaman Program"
"541442","Belanja Bunga Utang LN dari Penjadualan Kembali Pinjaman Proyek"
"541449","Belanja Biaya/Kewajiban Lainnya – Bunga Utang LN Melalui Penjadualan Kembali Pinjaman"
"541451","Belanja Pembayaran Bunga Surat Perbendaharaan  Negara – Valuta Asing"
"541459","Belanja Pembayaran Biaya/kewajiban lainnya Bunga Surat Perbendaharan Negara"
"541461","Belanja Pembayaran Biaya Transfer Pinjaman Luar Negeri"
"541511","Belanja Pembayaran Imbalan SBSN - Jangka Panjang - Valas"
"541519","Belanja Pembayaran Biaya/kewajiban lainnya – Imbalan SBSN Jangka Panjang - Valas"
"541521","Belanja Pembayaran Imbalan SBSN - Jangka Pendek - Valas"
"541529","Belanja Pembayaran Biaya/kewajiban lainnya – Imbalan SBSN Jangka Pendek - Valas"
"542111","Belanja Pembayaran Discount Surat Perbendaharaan Negara"
"542119","Belanja Pembayaran Biaya/Kewajiban Lainnya – Discount Surat Perbendaharaan Negara"
"542121","Belanja Pembayaran Discount Obligasi Negara"
"542129","Belanja Pembayaran Biaya/Kewajiban Lainnya – Discount Obligasi Negara"
"542131","Belanja Pembayaran Discount Surat Perbendaharaan Negara Valas"
"542139","Belanja Pembayaran Biaya/Kewajiban Lainnya – Discount Surat Perbendaharaan Negara Valas"
"542141","Belanja Pembayaran Discount Obligasi  Negara Valas"
"542149","Belanja Pembayaran Biaya/Kewajiban Lainnya – Discount Obligasi Negara Valas"
"543111","Belanja Pembayaran Discount Surat Perbendaharaan Negara Luar Negeri"
"543119","Belanja Pembayaran Biaya/kewajiban lainnya – Discount Surat Perbendaharaan Negara Luar Negeri"
"543121","Belanja Pembayaran Discount Obligasi  Negara Luar Negeri"
"543129","Belanja Pembayaran Biaya/kewajiban lainnya – Discount Obligasi Negara Luar Negeri"
"544111","Belanja Pembayaran Loss on Bond Redemption atas Pembelian Kembali Obligasi Negara"
"544112","Belanja Pembayaran Loss on Bond Redemption atas Pembelian Kembali SBSN"
"544113","Belanja Pembayaran Loss on Bond Redemption atas Pembelian Kembali Obligasi Negara Valas"
"544114","Belanja Pembayaran Loss on Bond Redemption atas Pembelian Kembali SBSN Valas"
"544211","Belanja Pembayaran Loss on Bond Redemption atas Pembelian Kembali Obligasi Luar Negeri"
"545111","Belanja Pembayaran Discount Surat Berharga Syariah Negara - Jangka Panjang"
"545119","Belanja Pembayaran Biaya/Kewajiban Lainnya – Discount Surat Berharga Syariah Negara Jangka Panjang"
"545121","Belanja Pembayaran Discount Surat Berharga Syariah Negara - Jangka Pendek"
"545129","Belanja Pembayaran Biaya/Kewajiban Lainnya – Disocunt Surat Berharga Syariah Negara Jangka Pendek"
"545131","Belanja Pembayaran Discount SPN Syariah"
"545139","Belanja Pembayaran Biaya/Kewajiban Lainnya - Discount SPN Syariah"
"545141","Belanja Pembayaran Discount Surat Berharga Syariah Negara - Jangka Panjang Valas"
"545149","Belanja Pembayaran Biaya/Kewajiban Lainnya – Discount Surat Berharga Syariah Negara Jangka Panjang Valas"
"545151","Belanja Pembayaran Discount Surat Berharga Syariah Negara - Jangka Pendek Valas"
"545159","Belanja Pembayaran Biaya/Kewajiban Lainnya – Discount Surat Berharga Syariah Negara Jangka Pendek Valas"
"546111","Belanja Pembayaran Discount SBSN - Jangka Panjang - Valas"
"546119","Belanja Pembayaran Biaya/kewajiban lainnya – Discount SBSN Jangka Panjang - Valas"
"546121","Belanja Pembayaran Discount SBSN - Jangka Pendek - Valas"
"546129","Belanja Pembayaran Biaya/kewajiban lainnya – Discount SBSN Jangka Pendek - Valas"
"547112","Belanja Pembayaran Bunga Pinjaman Perbankan"
"547113","Belanja Pembayaran Imbalan Bunga Bea dan Cukai (SPM-IB Bea dan Cukai)"
"547119","Belanja Pembayaran Biaya/Kewajiban Lainnya – Bunga Dalam Negeri Jangka Pendek Lainnya"
"548111","Belanja terkait Pendapatan Hibah"
"551111","Belanja Subsidi Lembaga Keuangan"
"551211","Belanja Subsidi Avgas"
"551212","Belanja Subsidi Avtur"
"551213","Belanja Subsidi Premium"
"551214","Belanja Subsidi Minyak Bakar"
"551215","Belanja Subsidi Minyak Solar"
"551216","Belanja Subsidi Minyak Diesel"
"551217","Belanja Subsidi Minyak Tanah"
"551218","Belanja Subsidi Elpiji"
"551219","Belanja Subsidi Liquefied Gas for Vehicle (LGV)"
"551311","Belanja Subsidi Pangan"
"551312","Belanja Subsidi Listrik"
"551313","Belanja Subsidi Benih"
"551314","Belanja Subsidi Obat"
"551315","Belanja Subsidi Gula"
"551316","Belanja Subsidi Pupuk"
"551317","Belanja Subsidi Perawatan Beras"
"551318","Belanja Subsidi Pengawasan Pupuk"
"551319","Belanja Subsidi Harga/Biaya Lainnya"
"551321","Belanja Subsidi PPh-DTP"
"551323","Belanja Subsidi BM-DTP"
"551331","Belanja Subsidi Haji"
"551332","Belanja Subsidi Kendaraan Bermotor"
"551339","Belanja Subsidi Lainnya"
"551341","Belanja Subsidi Minyak Goreng"
"551411","Belanja Subsidi PT KAI"
"551412","Belanja Subsidi PT PELNI"
"551413","Belanja Subsidi PT Pos Indonesia"
"551414","Belanja Subsidi TVRI"
"551415","Belanja Subsidi BULOG"
"551419","Belanja Subsidi Dalam Rangka PSO Lainnya"
"552111","Belanja Subsidi Lembaga Keuangan"
"552112","Belanja Subsidi Bantuan Uang Muka Perumahan"
"552121","Belanja Subsidi Bunga KUT"
"552122","Belanja Subsidi Bunga KOP PIR"
"552123","Belanja Subsidi Bunga KOP"
"552124","Belanja Subsidi Bunga KOP PRIM"
"552125","Belanja Subsidi Bunga KPR"
"552126","Belanja Subsidi Bunga Ketahanan Pangan (KKP) dan Energi"
"552127","Belanja Subsidi Bunga Kredit Program Eks KLBI"
"552128","Belanja Subsidi Bunga Kredit Biofuel (KPEN-RP)"
"552129","Belanja Subsidi Bunga Kredit Program Lainnya"
"552131","Belanja Subsidi Imbalan Jasa Penjaminan Kredit Usaha Rakyat"
"552132","Belanja Subsidi Risk Sharing KKP dan Energi"
"552141","Belanja Subdidi Bunga Pengusaha NAD dan Nias"
"552142","Belanja Subsidi Kredit Sektor Peternakan"
"552143","Belanja Subsidi Kredit Resi Gudang"
"552211","Belanja Subsidi Lembaga Non Keuangan"
"553111","Belanja Subsidi - Estimasi "
"561111","Belanja Hibah Kepada Pemerintah Luar Negeri"
"562111","Belanja Hibah Kepada Organisasi Internasional"
"563111","Belanja Hibah kepada Pemerintah Daerah"
"563121","Belanja Hibah Barang kepada Pemerintah Daerah dari Penerusan Hibah Luar Negeri"
"563122","Belanja Hibah Jasa kepada Pemerintah Daerah dari Penerusan Hibah Luar Negeri"
"563123","Belanja Hibah Surat Berharga  kepada Pemerintah Daerah dari Penerusan Hibah Luar Negeri"
"564111","Belanja Hibah Kepada Organisasi Dalam Negeri"
"565111","Belanja Pembayaran Biaya/Kewajiban Lainnya Terkait Pendapatan/Belanja Hibah"
"571111","Belanja Bantuan Sosial Untuk Rehabilitasi Sosial Dalam Bentuk Uang"
"571112","Belanja Bantuan Sosial Untuk Rehabilitasi Sosial Dalam Bentuk Barang"
"571113","Belanja Bantuan Sosial Untuk Rehabilitasi Sosial Dalam Bentuk Jasa"
"572111","Belanja Bantuan Sosial Untuk Jaminan Sosial Dalam Bentuk Uang"
"572112","Belanja Bantuan Sosial Untuk Jaminan Sosial Dalam Bentuk Barang"
"572113","Belanja Bantuan Sosial Untuk Jaminan Sosial Dalam Bentuk Jasa"
"573111","Belanja Bantuan Sosial Untuk Pemberdayaan Sosial Dalam Bentuk Uang"
"573112","Belanja Bantuan Sosial Untuk Pemberdayaan Sosial Dalam Bentuk Barang"
"573113","Belanja Bantuan Sosial Untuk Pemberdayaan Sosial Dalam Bentuk Jasa"
"574111","Belanja Bantuan Sosial Untuk Perlindungan Sosial Dalam Bentuk Uang"
"574112","Belanja Bantuan Sosial Untuk Perlindungan Sosial Dalam Bentuk Barang"
"574113","Belanja Bantuan Sosial Untuk Perlindungan Sosial Dalam Bentuk Jasa"
"575111","Belanja Bantuan Sosial Untuk Penanggulangan Kemiskinan Dalam Bentuk Uang"
"575112","Belanja Bantuan Sosial Untuk Penanggulangan Kemiskinan Dalam Bentuk Barang"
"575113","Belanja Bantuan Sosial Untuk Penanggulangan Kemiskinan Dalam Bentuk Jasa"
"576111","Belanja Bantuan Sosial Untuk Penanggulangan Bencana Dalam Bentuk Uang"
"576112","Belanja Bantuan Sosial Untuk Penanggulangan Bencana Dalam Bentuk Barang"
"576113","Belanja Bantuan Sosial Untuk Penanggulangan Bencana Dalam Bentuk Jasa"
"581111","Belanja Cadangan Umum"
"581112","Belanja Cadangan Tanggap Darurat (Dana Kontijensi)"
"581113","Belanja Cadangan Dana Reboisasi"
"581114","Belanja Cadangan Tunjangan Beras PNS/TNI/Polri"
"581115","Belanja Cadangan Kenaikan Harga Tanah (Land Capping)"
"581116","Belanja Cadangan Risiko Perubahan Asumsi Makro"
"581117","Belanja Cadangan Stabilisasi Harga Pangan"
"581118","Belanja Cadangan Risiko Lifting"
"581119","Belanja Cadangan Lainnya"
"581121","Belanja Cadangan Fiskal Lainnya (Risiko Kenaikan TTL Listrik)"
"581122","Belanja Cadangan Beras Pemerintah"
"581123","Belanja Cadangan Benih Nasional"
"581131","Belanja  Biaya/Upah Pungut PBB untuk DJP"
"581132","Belanja KONI"
"581133","Belanja Dana Penunjang (PHLN)"
"581134","Belanja Non Modal-Otorita Batam"
"581135","Belanja karena rugi selisih kurs dalam pengelolaan Rekening Milik BUN"
"581136","Jasa Surveyor"
"581137","Jasa Perbendaharaan"
"581138","Jasa Pelayanan Bank Operasional"
"581141","Belanja TVRI"
"581142","Belanja RRI"
"581143","Belanja Pengembalian Penerimaan Hibah Karena Pengeluaran Ineligible"
"581144","Belanja Kompensasi Kenaikan Harga BBM"
"581145","Dana Cadangan Resiko Kenaikan Harga Tanah"
"581149","Belanja lain-lain"
"581211","Belanja Lain-lain Lembaga Non Kementerian"
"581212","Belanja Operasional Kegiatan SKK Migas"
"581311","Belanja Fee Pelayanan Bank/Pos Persepsi"
"581312","Jasa Surveyor"
"581313","Jasa Perbendaharaan"
"581314","Jasa Pelayanan Bank Operasional"
"581315","Belanja Jasa Pelayanan Perbendaharaan"
"581316","Belanja Pembayaran Selisih Harga Beras Bulog"
"581319","Belanja Lain-lain Jasa Pelayanan BUN Lainnya"
"581411","Belanja Iuran ke Lembaga Internasional"
"581412","Belanja Ongkos Angkut Beras PNS Distrik Pedalaman Papua"
"581413","Belanja Tunggakan dan Klaim Pihak Ketiga"
"581414","Belanja Dana Penunjang (PHLN)"
"581415","Belanja Karena Rugi Selisih Kurs Dalam Pengelolaan Rekening Milik BUN"
"581416","Belanja Penugasan PT SMI"
"581417","Belanja Kompensasi Kenaikan Harga BBM"
"581418","Belanja Konversi BBM ke BBG untuk Transportasi Umum"
"581419","Belanja Lain-lain BUN Lainnya"
"581421","Belanja Selisih Harga SBN"
"581422","Belanja karena Selisih Kurs Satker Perwakilan RI/ Atase Teknis BA Belanja Lainnya"
"581511","Belanja Keperluan Mendesak/Tak Terduga"
"581512","Belanja Tanggap Darurat Penanggulangan Bencana"
"581611","Belanja Penyesuaian Selisih Kurs Invoice/SPP ke SP2D dan Exotic Currency"
"581911","Belanja Pemilu"
"581919","Belanja Lain-lain"
"592118","Belanja Amortisasi  Aset Tak Berwujud yang tidak digunakan dalam Operasional Pemerintahan "
"592126","Belanja Amortisasi Aset Tak Berwujud yang tidak digunakan dalam Operasional Pemerintahan – BLU"
"592211","Belanja Penyusutan Kemitraan dengan Pihak Ketiga"
"592221","Belanja Penyusutan Aset Lain-lain"
"592222","Belanja Penyusutan Penyusutan Aset Tetap yang Tidak Digunakan dalam Operasional Pemerintah"
"592231","Belanja Penyusutan Aset Eks BPPN"
"592232","Belanja Penyusutan Aset yang Diserahkelolakan pada PT. PPA"
"592233","Belanja Penyusutan Aset BUMN yang Belum Ditetapkan Statusnya"
"592234","Belanja Penyusutan Aset yang Berasal dari Kontraktor Kontrak Kerja Sama"
"592235","Belanja Penyusutan Aset Eks Kelolaan PT. PPA"
"592236","Belanja Penyusutan Aset Eks Pertamina"
"592237","Belanja Penyusutan Aset yang Berasal dari Kontraktor PKP2B"
"592238","Belanja Penyusutan Aset Idle yang Sudah Diserahkan ke DJKN"
"592239","Belanja Penyusutan Aset Lain-lain BUN"
"592241","Belanja Penyusutan Aset Lain-lain BLU"
"592242","Belanja Penyusutan Aset Tetap yang Tidak Digunakan dalam Operasi Pemerintahan BLU"
"593311","Belanja Penyesuaian Nilai Persediaan"
"594111","Belanja Penyisihan Piutang Tidak Tertagih – Piutang PPh Migas"
"594112","Belanja Penyisihan Piutang Tidak Tertagih – Piutang PPh Non Migas"
"594113","Belanja Penyisihan Piutang Tidak Tertagih – Piutang PPN"
"594114","Belanja Penyisihan Piutang Tidak Tertagih – Piutang PPnBM"
"594115","Belanja Penyisihan Piutang Tidak Tertagih – Piutang PBB dan BPHTB"
